,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
eMMC 5.1,,microSDXC (uses shared SIM slot),About 230 EUR,Allview Soul X7 Pro,USB Type-C 3.0,1.12 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"1, 2, 3, 5, 8, 20, 38, 40, 41","6.53 inches, 104.7 cm2(~84.2% screen-to-body ratio)",,"4K@30fps, 1080p@30fps",,,,GSM / HSPA / LTE,Allview,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, PDAF8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in),193 g (6.81 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg,"GPS, GLONASS",,,,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),Adreno 508,1080p@30fps,,"16 MP, (wide), 1/3.06"" 1.0µm","2020, May 26",No,FM radio,Qualcomm SDM630 Snapdragon 630 (14 nm),Yes,,,Corning Gorilla Glass,"Available. Released 2020, May 26",Android 9.0 (Pie),IPS LCD,64GB 4GB RAM,Li-Po 4000 mAh,"5.1, A2DP, LE",Yes,Black Desire,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/100 Mbps",18W wired,,,"LED flash, HDR, panorama",,,HSDPA 850 / 900 / 1900 / 2100,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct"
eMMC 5.1,,microSDXC (uses shared SIM slot),About 130 EUR,Allview Soul X7 Style,USB Type-C 2.0,0.87 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 38, 40","6.21 inches, 96.3 cm2(~81.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in),184.7 g (6.53 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg,"GPS, GLONASS",,,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,,,5 MP,"2020, May 26",No,FM radio,Mediatek MT6763 Helio P23 (16 nm),Yes,,,,"Available. Released 2020, May 26",Android 9.0 (Pie),IPS LCD,64GB 4GB RAM,Li-Po 3400 mAh battery,"4.0, A2DP",Yes,Turcoise,"HSPA, LTE",,"13 MP, f/2.2, AF0.3 MP, (depth)",,"LED flash, HDR",,,HSDPA 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDHC,About 90 EUR,Allview Viva 803G,microUSB 2.0,1.59 W/kg (body),,Accelerometer,Micro-SIM,,"8.0 inches, 185.6 cm2(~72.0% screen-to-body ratio)",,720p,,,,GSM / HSPA,Allview,,208 x 124 x 9.5 mm (8.19 x 4.88 x 0.37 in),330 g (11.64 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,VGA,"2020, April",No,FM radio,Mediatek MT8321 (28 nm),Yes,,,,"Available. Released 2020, April",Android 9.0 Pie (Go edition),IPS LCD,16GB 1GB RAM,Li-Po 3600 mAh,"4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,,,,LED flash,,,HSDPA 900 / 1900 / 2100,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),About 170 EUR,Allview V4 Viper Pro,microUSB 2.0,1.20 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 20, 38","6.8 inches, 115.4 cm2(~82.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in),191.6 g (6.77 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg,"GPS, GLONASS",,,,Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,1080p@30fps,,8 MP,"2020, January",No,FM radio,Mediatek MT6739 (28 nm),Yes,,,,"Available. Released 2020, January",Android 9.0 (Pie),IPS LCD,32GB 2GB RAM,Li-Po 3500 mAh,"4.0, A2DP",Yes,Dark Grey,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",10W wired,"13 MP, AF0.3 MP, (depth)",,LED flash,,,HSDPA 900 / 2100,"640 x 1352 pixels, 19:9 ratio (~220 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
No,,microSDHC,About 50 EUR,Allview Viva C703,microUSB 2.0,,No,Accelerometer,No,N/A,"7.0 inches, 137.9 cm2(~67.5% screen-to-body ratio)",,480p,,,,No cellular connectivity,Allview,,188.5 x 108.3 x 9.7 mm (7.42 x 4.26 x 0.38 in),242 g (8.54 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg,No,No,,,Quad-core 1.5 GHz Cortex-A7,Mali-400MP2,,,0.3 MP,"2019, October",No,No,,Yes,,,,"Available. Released 2019, October",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,"Li-Po 2000 mAh, non-removable","4.0, A2DP",Yes,Black,No,,,,,,,N/A,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
No,,microSDXC (dedicated slot),About 250 EUR,Allview Viva Home,"microUSB 2.0, USB",,No,Accelerometer,No,N/A,"17.3 inches, 825.1 cm2(~74.0% screen-to-body ratio)",,1080p,,,,No cellular connectivity,Allview,,418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in),2018.3 g (4.45 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg,GPS,No,,,Quad-core 1.5 GHz Cortex-A53,,,,2 MP,"2019, July",No,FM radio,Mediatek MT8163,Yes,,,,"Available. Released 2019, July",Android 9.0 (Pie),IPS LCD,32GB 2GB RAM,"Li-Po 5000 mAh, non-removable","4.0, A2DP",Yes,Black,,,,,,,,N/A,"1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",N/A,Wi-Fi 802.11 a/b/g/n
,Up to 400 h,microSDXC (dedicated slot),,Allview Viva 1003G,microUSB 2.0,1.05 W/kg (body),,Accelerometer,Mini-SIM,,"10.1 inches, 295.8 cm2(~70.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),479.4 g (1.06 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,2 MP,"2019, August",No,FM radio,Mediatek MT8321A (28 nm),Yes,,,,"Available. Released 2019, August",Android 9.0 (Pie),IPS LCD,16GB 2GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,10W wired,,,LED flash,Up to 11 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 400 h,microSDXC (dedicated slot),About 100 EUR,Allview Viva 1003G Lite,microUSB 2.0,1.05 W/kg (body),,Accelerometer,Mini-SIM,,"10.1 inches, 295.8 cm2(~70.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),505.2 g (1.11 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,0.3 MP,"2019, September",No,FM radio,Mediatek MT8321A (28 nm),Yes,,,,"Available. Released 2019, September",Android 8.1 Oreo (Go edition),IPS LCD,16GB 1GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,10W wired,,,LED flash,Up to 8 h 20 min,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),About 100 EUR,Allview V4 Viper,microUSB 2.0,1.13 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 38","5.7 inches, 81.1 cm2(~78.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in),138 g (4.87 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg,"GPS, GLONASS",,,,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,5 MP,"2019, September",No,FM radio,Mediatek MT6761 Helio A22 (12 nm),Yes,,,,"Available. Released 2019, September",Android 9.0 (Pie),IPS LCD,16GB 2GB RAM,"Li-Po 2700 mAh, non-removable","4.1, A2DP, LE",Yes,"Blue, Red","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,"8 MP, AF0.3 MP, (depth)",,LED flash,,,HSDPA 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (dedicated slot),,Allview Soul X6 Mini,microUSB 2.0,0.98 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 38","6.2 inches, 95.9 cm2(~79.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in),175.7 g (6.21 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg,"GPS, GLONASS",,,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,13 MP,"2019, May",No,FM radio,Mediatek MT6762 Helio P22 (12 nm),Yes,,,,"Available. Released 2019, May",Android 9.0 (Pie),IPS LCD,16GB 2GB RAM,"Li-Po 4000 mAh, non-removable","4.1, A2DP, LE",Yes,Indigo Blue,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",10W wired,"13 MP, AF2 MP, (depth)",,"Dual-LED dual-tone flash, panorama, HDR",,,HSDPA 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),About 360 EUR,Allview Soul X6 Xtreme,USB Type-C 2.0,0.97 W/kg (head),,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 38","6.39 inches, 100.2 cm2(~85.9% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,157 x 74.3 x 8.9 mm (6.18 x 2.93 x 0.35 in),176.6 g (6.24 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x6-xtr.jpg,"GPS, GLONASS",,,,Octa-core (4x2.1 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Mali-G72 MP3,,,Motorized pop-up 8 MP,"2019, April",No,FM radio,Mediatek MT6771 Helio P70 (12 nm),Yes,,,Corning Gorilla Glass 5,"Available. Released 2019, April",Android 9.0 (Pie),AMOLED,64GB 4GB RAM,"Li-Po 3450 mAh, non-removable","4.2, A2DP, LE",Yes,Urban Violet,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps","18W wired, 20% in 15 minWireless","16 MP, f/1.8, PDAF5 MP, f/2.4, (depth)",,"LED flash, HDR, panorama",,,HSDPA 900 / 2100,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct"
eMMC 5.1,,microSDXC,,Allview P10 Pro,microUSB 2.0,1.38 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 20, 38","5.99 inches, 92.6 cm2(~74.9% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,161.5 x 76.5 x 8.8 mm (6.36 x 3.01 x 0.35 in),182 g (6.42 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p10-pro.jpg,GPS,,,,Quad-core 1.3 GHz Cortex-A53,,,,8 MP,"2019, April",No,FM radio,Mediatek MT6739 (28 nm),Yes,LED flash,,,"Available. Released 2019, April",Android 8.1 (Oreo),IPS LCD,32GB 3GB RAM,Li-Po 3000 mAh battery,"4.2, A2DP, LE",Yes,Dark Green,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,"13 MP, AFQVGA",,"LED flash, HDR",,,HSDPA 900 / 2100,"720 x 1440 pixels, 18:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC,,Allview P10 Max,microUSB 2.0,0.85 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 20, 38","5.99 inches, 92.6 cm2(~74.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,160.7 x 77.7 x 8.3 mm (6.33 x 3.06 x 0.33 in),172 g (6.07 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p10-max.jpg,GPS,,,13 MP,Quad-core 1.3 GHz Cortex-A53,,,,"13 MP, AF","2019, April",No,FM radio,Mediatek MT6739 (28 nm),Yes,,,,"Available. Released 2019, April",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,Li-Po 3200 mAh battery,"4.0, A2DP, LE",Yes,Blue Purple,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",,,HSDPA 900 / 2100,"480 x 960 pixels, 18:9 ratio (~179 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,,microSDXC,,Allview P10 Mini,microUSB 2.0,0.72 W/kg (head),,Accelerometer,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38","5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,144.2 x 72 x 9.9 mm (5.68 x 2.83 x 0.39 in),152.6 g (5.40 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p10-mini.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A53,,,,"8 MP, AF","2019, April",No,FM radio,,Yes,,,,"Available. Released 2019, April",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,Li-Po 2400 mAh battery,"4.2, A2DP, LE",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC,,Allview P10 Life,microUSB 2.0,0.80 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38","5.34 inches, 73.6 cm2(~68.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,149.4 x 71.9 x 9.4 mm (5.88 x 2.83 x 0.37 in),177.6 g (6.28 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p10-life.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,,,,"8 MP, AF","2019, January",No,FM radio,Mediatek MT6739 (28 nm),Yes,,,,"Available. Released 2019, January",Android 8.1 (Oreo),IPS LCD,16GB 2GB RAM,Li-Po 2500 mAh battery,"4.2, A2DP, LE",Yes,Blue,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",,,HSDPA 900 / 2100,"480 x 960 pixels, 18:9 ratio (~201 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,,microSDXC,,Allview A10 Lite 2019,microUSB 2.0,0.97 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"5.34 inches, 73.6 cm2(~70.4% screen-to-body ratio)",,720p,,,,GSM / HSPA,Allview,,145.5 x 71.8 x 9.9 mm (5.73 x 2.83 x 0.39 in),152 g (5.36 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-10-lite-2019.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2018, October",No,FM radio,Mediatek MT6580M (28 nm),Yes,LED flash,,,"Available. Released 2018, October",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,Li-Ion 2150 mAh battery,"4.0, A2DP, LE",Yes,"Black, Gold",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",,,HSDPA 900 / 2100,"480 x 960 pixels, 18:9 ratio (~201 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
No,,No,,Allview Allwatch Hybrid T,No,,No,"Accelerometer, heart rate",No,,1.22 inches,,,,,,No cellular connectivity,Allview,,50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in),88 g (3.10 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-t.jpg,No,No,,,,,,,,"2018, December",No,No,,No,,,,"Available. Released 2018, December",Proprietary OS,LCD,,"Li-Po 200 mAh, non-removable","4.2, A2DP, LE",No,Black,,,,,,,,,240 x 240 pixels (~278 ppi density),N/A,No
No,,No,,Allview Allwatch Hybrid S,No,,No,"Accelerometer, heart rate",No,,1.22 inches,,,,,,No cellular connectivity,Allview,,50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in),88 g (3.10 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-s.jpg,No,No,,,,,,,,"2018, December",No,No,,No,,,,"Available. Released 2018, December",Proprietary OS,LCD,,"Li-Po 200 mAh, non-removable","4.2, A2DP, LE",No,Dark Gray,,,,,,,,,240 x 240 pixels (~278 ppi density),N/A,No
,,microSDXC,,Allview A10 Plus,microUSB 2.0,0.99 W/kg (head),,Accelerometer,Nano-SIM + Nano-SIM,,"5.34 inches, 73.6 cm2(~67.9% screen-to-body ratio)",,720p,,,,GSM / HSPA,Allview,,151 x 71.8 x 9.6 mm (5.94 x 2.83 x 0.38 in),150 g (5.29 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a10-plus.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2018, November",No,FM radio,Mediatek MT6580 (28 nm),Yes,LED flash,,,"Available. Released 2018, November",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,Li-Ion 2200 mAh battery,"4.0, A2DP, LE",Yes,Gray,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",,,HSDPA 900 / 2100,"480 x 960 pixels, 18:9 ratio (~201 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),About 220 EUR,Allview Soul X5 Style,microUSB 2.0,1.21 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41","6.2 inches, 96.7 cm2(~80.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),168 g (5.93 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-style.jpg,GPS,,,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,"8 MP, f/2.2","2018, November",No,FM radio,Mediatek MT6762 Helio P22 (12 nm),Yes,LED flash,,Corning Gorilla Glass 3,"Available. Released 2018, November",Android 8.1 (Oreo),IPS LCD,32GB 3GB RAM,"Li-Po 4000 mAh, non-removable","5.0, A2DP, LE",Yes,"Blue, Gold","HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",,"13 MP, AF2 MP, (depth)",,"LED flash, HDR",,,HSDPA 850 / 900 / 1900 / 2100,720 x 1500 pixels (~268 ppi density),GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct"
"IP54, dust and splash resistant",,No,,Allview Allwatch V,No,,No,"Accelerometer, heart rate",No,,1.3 inches,,,,,,No cellular connectivity,Allview,,42 x 40 x 9.4 mm (1.65 x 1.57 x 0.37 in),39 g (1.38 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-allwatch-v.jpg,No,No,,,,,,,,"2018, June",No,No,,No,,,,"Available. Released 2018, June",Proprietary OS,LCD,,"Li-Po 130 mAh, non-removable","4.0, A2DP, LE",No,Black,,,,,,,No,,240 x 240 pixels (~261 ppi density),N/A,No
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview Soul X5 Mini,microUSB 2.0,0.66 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38","5.67 inches, 81.0 cm2(~77.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,149.4 x 70.2 x 8.8 mm (5.88 x 2.76 x 0.35 in),156 g (5.50 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-mini.jpg,GPS,,,,Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,,,5 MP,"2018, August",No,FM radio,Mediatek MT6739 (28 nm),Yes,,,Asahi Glass,"Available. Released 2018, August",Android 8.1 (Oreo),IPS LCD,16GB 2GB RAM,"Li-Po 3050 mAh, non-removable","4.2, A2DP, LE",Yes,"Black, Gold","HSPA 21.1/5.76 Mbps, LTE",,"13 MP, AF0.3 MP, (depth)",,"LED flash, HDR",,,HSDPA 900 / 2100,720 x 1498 pixels (~293 ppi density),GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview P10 Style,microUSB 2.0,1.26 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Micro-SIM,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41","5.34 inches, 73.6 cm2(~72.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,145.8 x 70 x 8.8 mm (5.74 x 2.76 x 0.35 in),140 g (4.94 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p10-style.jpg,GPS,,,8 MP,Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,,,"8 MP, AF","2018, October",No,FM radio,Mediatek MT6739M (28 nm),Yes,,,,"Available. Released 2018, October",Android 8.1 Oreo (Go edition),IPS LCD,8GB 1GB RAM,"Li-Po 2300 mAh, non-removable","4.2, A2DP, LE",Yes,"Black, Gold","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,LED flash,,,HSDPA 850 / 900 / 1900 / 2100,"480 x 960 pixels, 18:9 ratio (~201 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 a/b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview X5 Soul,USB Type-C 2.0,0.89 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 5, 7, 8, 20, 38, 39, 40, 41","5.86 inches, 85.7 cm2(~79.9% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,149 x 72 x 7.9 mm (5.87 x 2.83 x 0.31 in),185 g (6.53 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5.jpg,"GPS, GLONASS",,,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","2018, August",No,FM radio,Mediatek MT6762 Helio P22 (12 nm),Yes,,X5_Soul,,"Available. Released 2018, August",Android 8.1 (Oreo),IPS LCD,32GB 4GB RAM,"Li-Po 3000 mAh, non-removable","4.2, A2DP, LE",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",,"16 MP, f/2.0, PDAF5 MP, f/2.4, (depth)",,"LED flash, HDR, panorama",,,HSDPA 850 / 900 / 1900 / 2100,"720 x 1520 pixels, 19:9 ratio (~287 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct"
eMMC 5.1,,microSDXC (uses shared SIM slot),About 330 EUR,Allview Soul X5 Pro,USB Type-C 2.0,1.02 W/kg (head),,"Infrared Face ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 5, 7, 8, 20, 38, 39, 40","6.2 inches, 96.9 cm2(~82.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in),210 g (7.41 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x5-soul-pro.jpg,"GPS, GLONASS, GALILEO",,,,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","2018, June",No,FM radio,Mediatek MT6771 Helio P60 (12 nm),Yes,,X5_Soul_Pro,Corning Gorilla Glass 3,"Available. Released 2018, June",Android 8.1 (Oreo),IPS LCD,32GB 4GB RAM,"Li-Po 3000 mAh, non-removable","4.2, A2DP, LE",Yes,Gold,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat7 300/150 Mbps",10W wiredWireless,"16 MP, f/2.0, PDAF5 MP, f/2.4, (depth)",,"LED flash, HDR, panorama",,,HSDPA 850 / 900 / 1900 / 2100,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct"
