,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
eMMC 4.5,GPS,,,,HSDPA,Android 5 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"13 MP, AF",141 x 70 x 8.2 mm (5.55 x 2.76 x 0.32 in),,Up to 348 h (2G) / Up to 288 h (3G),"Black, White, Yellow","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,5 MP,Discontinued,,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6010.jpg,"Li-Po 2300 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity","Yes, with stereo speakers",,Up to 24 h (2G) / Up to 12 h (3G),"4.0, A2DP",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Qualcomm MSM8916 Snapdragon 410 (28 nm),,,,,,128 g (4.52 oz),Yes,,,microSDHC (dedicated slot),No,Yes,Lenovo A6010 Plus,,16GB 2GB RAM,About 160 EUR,"2015, September. Released 2015, October",,IPS LCD,LTE,,Lenovo
eMMC 4.5,GPS,,,,HSDPA,Android 5 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"8 MP, f/2.5, AF",141 x 70 x 8.2 mm (5.55 x 2.76 x 0.32 in),,Up to 348 h (2G) / Up to 288 h (3G),"Black, White, Yellow","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,A6010,,"2 MP, f/2.3",Discontinued,,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),LED flash,GSM / HSPA / LTE,,,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6010.jpg,"Li-Po 2300 mAh, removable","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity","Yes, with stereo speakers",,Up to 24 h (2G) / Up to 12 h (3G),"4.0, A2DP",,720p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Qualcomm MSM8916 Snapdragon 410 (28 nm),,,,,,128 g (4.52 oz),Yes,,,microSDHC (dedicated slot),No,Yes,Lenovo A6010,,8GB 1GB RAM,About 150 EUR,"2015, September. Released 2015, October",,IPS LCD,LTE,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,,"8 MP, f/2.2, AF",141 x 71.8 x 9.3 mm (5.55 x 2.83 x 0.37 in),,Up to 456 h (2G) / Up to 566 h (3G),"Onyx Black, Pearl White","HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,P1ma40,720p,5 MP,Discontinued,,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-p1m.jpg,"Li-Po 4000 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 36 h (2G) / Up to 16 h (3G),"4.1, A2DP, LE",,720p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Mediatek MT6735P (28 nm),,,,,,148 g (5.22 oz),,15W wired,,microSDHC (dedicated slot),No,Yes,Lenovo Vibe P1m,,16GB 2GB RAM,About 110 EUR,"2015, September. Released 2015, October",,IPS LCD,"1, 3, 5, 7, 8, 20, 40",,Lenovo
,GPS,"8 MP2 MP, depth sensor",,,HSDPA 850 / 900 / 1900 / 2100,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,,,,"13 MP, f/2.2, PDAF",143.3 x 70.8 x 7.8 mm (5.64 x 2.79 x 0.31 in),,Up to 264 h (2G) / Up to 240 h (3G),"Pearl White, Midnight Blue","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,"S1a40, S1c50",,,Discontinued,,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-s1.jpg,"Li-Po 2420 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Accelerometer, proximity",Yes,,Up to 26 h (2G) / Up to 12 h (3G),"4.0, A2DP",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",FM radio,Mediatek MT6752 (28 nm),,,Corning Gorilla Glass 3,,,132 g (4.66 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo Vibe S1,,32GB 3GB RAM,About 270 EUR,"2015, September. Released 2015, November",,IPS LCD,"1, 3, 5, 7, 8, 20, 40",,Lenovo
CDMA 800,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Quad-core 2.5 GHz Krait 400,Adreno 330,,,,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF, OIS",155.7 x 77.3 x 8.9 mm (6.13 x 3.04 x 0.35 in),CyanogenMod 12.1,Up to 526 h (3G),"White, Dark Gray","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",USB Type-C 3.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,ZUK Z1,1080p@30fps,"8 MP, f/2.2",Discontinued,Photo/Video,"5.5 inches, 83.4 cm2(~69.3% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED flash, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-zuk-z1.jpg,"Li-Po 4100 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Yes,,Up to 38 h (3G),"4.1, A2DP, LE",TD-SCDMA,"1080p@30fps, 1080p@60fps",Endurance rating 97h,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",No,Qualcomm MSM8974AC Snapdragon 801 (28 nm),,,,,,175 g (6.17 oz),,18W wired,,No,No,Yes,Lenovo ZUK Z1,eMMC 5.0,64GB 3GB RAM,About 320 EUR,"2015, August. Released 2015, September",,IPS LCD,"1, 3, 7, 38, 39, 40, 41",,Lenovo
,GPS,,,"Glass front, plastic back, plastic frame",HSDPA 850 / 1900 / 2100,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,,5 MP,131.5 x 66.5 x 9.9 mm (5.18 x 2.62 x 0.39 in),,,"Black, Pearl White","HSPA, LTE",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,"A2010-a, A2010-l",,2 MP,Discontinued,,"4.5 inches, 55.8 cm2(~63.8% screen-to-body ratio)",,,GSM 900 / 1800 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a2010.jpg,"Li-Po 2000 mAh, removable",Dual SIM,,,Accelerometer,Yes,,,"4.0, A2DP",,720p@30fps,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",FM radio,Mediatek MT6735M (28 nm),,,,,,137 g (4.83 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A2010,,8GB 1GB RAM,About 70 EUR,"2015, August. Released 2015, September",,TFT,"3, 40",,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.4 (KitKat),Quad-core 1.3 GHz Cortex-A53,Mali-T760MP2,,,,"5 MP, AF",149.9 x 77.1 x 9.2 mm (5.90 x 3.04 x 0.36 in),,,"Black, White","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,Wi-Fi 802.11 b/g/n,,,,VGA,Discontinued,,"5.5 inches, 83.4 cm2(~72.1% screen-to-body ratio)",,,GSM 900 / 1800 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a616.jpg,"Li-Ion 2250 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,,"4.0, A2DP",,Yes,,"480 x 854 pixels, 16:9 ratio (~178 ppi density)",FM radio,Mediatek MT6732M (28 nm),,,,,,174 g (6.14 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A616,,4GB 512MB RAM,About 50 EUR,2015. Released 2015,,IPS LCD,LTE,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.4.2 (KitKat),Octa-core 1.2 GHz Cortex-A53,Mali-T760MP2,,,,"5 MP, AF",142.8 x 71.8 x 9 mm (5.62 x 2.83 x 0.35 in),,,"Black, Pearl White, Silver","HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG",Wi-Fi 802.11 b/g/n,,,,2 MP,Discontinued,,"5.0 inches, 68.9 cm2(~67.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a3900r.jpg,"Li-Po 2300 mAh, removable","Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,,"4.0, A2DP",,Yes,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",No,Mediatek MT6752 (28 nm),,,,,,157 g (5.54 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A3900,,4GB 512MB RAM,About 70 EUR,"2015, May. Released 2015, August",,IPS LCD,LTE,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 5.0 (Lollipop),Quad-core 1.83 GHz,,,,,"13 MP, AF, OIS",8.5 mm thickness,,Up to 520 h (3G),"Black, Silver, Red","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,,,5 MP,Discontinued,,"5.5 inches, 83.4 cm2",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k80-.jpg,"Li-Ion 4000 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity, compass",Yes,,Up to 33 h (3G),"4.0, A2DP",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Intel Atom Z3560,,,,,,158 g (5.57 oz),,,,No,Yes,Yes,Lenovo K80,,"32GB 2GB RAM, 64GB 4GB RAM",About 280 EUR,"2015, April. Released 2015, April",,IPS LCD,"1, 3",,Lenovo
eMMC 4.5,GPS,,,,HSDPA 900 / 2100,"Android 4.4.2 (KitKat), upgradable to 5 (Lollipop)",Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"13 MP, AF",143.3 x 72 x 7.7 mm (5.64 x 2.83 x 0.30 in),,Up to 336 h (2G) / Up to 240 h (3G),"Pearl White, Graphite Grey, Yellow","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,"S60-a, S60",,5 MP,Discontinued,,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s60.jpg,"Li-Po 2150 mAh, non-removable",Nano-SIM + Micro-SIM,,,"Accelerometer, proximity, compass",Yes,,Up to 30 h (2G) / Up to 16 h 30 min (3G),"4.0, A2DP",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Qualcomm MSM8916 Snapdragon 410 (28 nm),,,,,,128 g (4.52 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S60,,8GB 2GB RAM,About 280 EUR,"2015, January. Released 2015, March",,IPS LCD,"1, 3, 7, 20",,Lenovo
eMMC 4.5,GPS,,,,HSDPA 2100,"Android 4.4.4 (KitKat), upgradable to 5.2 (Lollipop)",Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"8 MP, f/2.2, AF",141 x 70 x 8.2 mm (5.55 x 2.76 x 0.32 in),,Up to 264 h (2G) / Up to 264 h (3G),"Black, White, Yellow, Red","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,2 MP,Discontinued,,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6000.jpg,"Li-Po 2300 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity","Yes, with stereo speakers",,Up to 22 h (2G) / Up to 13 h (3G),"4.0, A2DP",,720p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Qualcomm MSM8916 Snapdragon 410 (28 nm),,,,,,128 g (4.52 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A6000 Plus,,16GB 2GB RAM,About 110 EUR,"2015, April. Released 2015, April",,IPS LCD,"1, 3, 7, 20, 40 - Data only, no voice",,Lenovo
No,GPS,,,,HSDPA 2100,Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Mali-400,,,,2 MP,121 x 62 x 9.5 mm (4.76 x 2.44 x 0.37 in),,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"4.0 inches, 45.5 cm2(~60.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a1900.jpg,"Li-Ion 1500 mAh, removable","Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,,2.0,,Yes,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",FM radio,Spreadtrum SC7730,,,,,,117 g (4.13 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A1900,,4GB 512MB RAM,About 60 EUR,"2015, April. Released 2015, April",,IPS LCD,,,Lenovo
GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - India,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,"Android 5.2 (Lollipop), upgradable to 6 (Marshmallow)",Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,Voice 65dB / Noise 66dB / Ring 76dB,,,"13 MP, f/2.0, AF",152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),,Up to 750 h (3G),"Onyx Black, Pearl White, Laser Yellow","HSPA, TD-SCDMA, LTE, TD-LTE","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,"K50a40, K50-t5, K50-t3s",,"5 MP, f/2.4",Discontinued,Photo/Video,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k3-note.jpg,"Li-Ion 3000 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity, compass",Yes,,Up to 36 h (3G),"4.1, A2DP, LE",HSDPA 2100 - India,1080p@30fps,Endurance rating 53h,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Mediatek MT6752 (28 nm),,Contrast ratio: 1793:1 (nominal),Asahi Dragontrail Glass,,,150 g (5.29 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo K3 Note,,16GB 2GB RAM,About 150 EUR,"2015, March. Released 2015, March",,IPS LCD,"1, 3, 7, 38, 39, 40, 41",Basemark OS II 2.0: 984Basemark X: 5656,Lenovo
eMMC 4.5,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.0.2 (Lollipop),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,Voice 66dB / Noise 65dB / Ring 71dB,,Noise -83.0dB / Crosstalk -94.5dB,"16 MP, f/2.2, AF, OIS",142 x 70 x 7.3 mm (5.59 x 2.76 x 0.29 in),,Up to 456 h (3G),"Crimson, Pearl White, Graphite Grey","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual band, hotspot",,"Z90a40, Z90-7",1080p@30fps,"8 MP, f/2.2",Discontinued,Photo/Video,"5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Triple-LED dual-tone flash, panorama, HDR",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-shot.jpg,"Li-Po 3000 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity, compass",Yes,,Up to 30 h (2G) / Up to 21 h (3G),"4.1, A2DP",,1080p@30fps,Endurance rating 54h,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",FM radio,Qualcomm MSM8939 Snapdragon 615 (28 nm),,"Contrast ratio: 1728 (nominal),  3.113 (sunlight)",Corning Gorilla Glass 3,,,145 g (5.11 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo Vibe Shot,,32GB 3GB RAM,About 300 EUR,"2015, March. Released 2015, June",,IPS LCD,LTE 800 / 1800 / 2100 / 2600 - Lenovo Z90-7,,Lenovo
,GPS,,,,HSDPA 2100,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,,,,"13 MP, f/2.0, AF",152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),,,"Onyx Black, Pearl White, Yellow","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,5 MP,Discontinued,,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual-LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7000-plus.jpg,"Li-Po 2900 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, gyro, proximity, compass",Yes,,,"4.0, A2DP",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Mediatek MT6752 (28 nm),,,,,,140 g (4.94 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A7000 Plus,,16GB 2GB RAM,About 190 EUR,"2015, September. Released 2015, September",,IPS LCD,LTE,,Lenovo
HSDPA 850 / 900 / 1900 / 2100,GPS,,,"Glass front, plastic back, plastic frame",HSDPA 2100,"Android 5.0.2 (Lollipop), upgradable to 6.0 (Marshmallow)",Octa-core 1.5 GHz Cortex-A53,Mali-T760MP2,,,,"8 MP, f/2.2, AF",152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),,Up to 264 h (2G) / Up to 264 h (3G),"Onyx Black, Pearl White, Yellow","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,A7000-a,720p,5 MP,Discontinued,,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual-LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7000.jpg,"Li-Po 2900 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 39 h (2G) / Up to 16 h (3G),"4.0, A2DP",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",FM radio,Mediatek MT6752m,,,,,,140 g (4.94 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A7000,,8GB 2GB RAM,About 150 EUR,"2015, March 02. Released 2015, April 07",,IPS LCD,"1, 3, 7, 20, 40 - Data only, no voice",,Lenovo
,GPS,,,,HSDPA 900 / 2100,"Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)",Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,,"8 MP, f/2.2, AF",140 x 71.4 x 10 mm (5.51 x 2.81 x 0.39 in),,Up to 768 h (2G) / Up to 804 h (3G),"Black, White",HSPA 21.1/5.76 Mbps,"microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,A5000,,2 MP,Discontinued,,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR",GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a5000.jpg,"Li-Po 4000 mAh, non-removable","Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 35 h (2G) / Up to 17 h (3G),"4.0, A2DP",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Mediatek MT6582 (28 nm),,,,,,160 g (5.64 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A5000,,8GB 1GB RAM,About 150 EUR,"2015, February. Released 2015, April",,IPS LCD,,,Lenovo
,Unspecified,,,,HSDPA,"Android 4.4.4 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.7 GHz Cortex-A53,Mali-T760,,,,"8 MP, AF",247 x 171 x 8.9 mm (9.72 x 6.73 x 0.35 in),,,"Pearl White, Midnight Blue","HSPA, LTE - cellular model only",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,,,5 MP,Discontinued,,"10.1 inches, 312.3 cm2(~73.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a10.jpg,"Li-Ion 7000 mAh, non-removable",Micro-SIM - cellular model only,,,Accelerometer,"Yes, with multiple speakers",,Up to 15 h 30 min (multimedia),"4.0, A2DP",,Yes,,"1200 x 1920 pixels, 16:10 ratio (~218 ppi density)",FM radio,Mediatek MT8732 (28 nm) - 4G modelMediatek MT8165 - Wi-Fi model,,,,,,509 g (1.12 lb),Yes,,,microSDXC (dedicated slot),No,Yes,Lenovo Tab 2 A10-70,,16GB 2GB RAM,About 180 EUR,"2015, March. Released 2015, April",,IPS LCD,LTE,,Lenovo
,Unspecified,,,,HSDPA,Android 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,,"5 MP, AF",210 x 125 x 8.9 mm (8.27 x 4.92 x 0.35 in),,Up to 696 h,"Pearl White, Ebony, Midnight Blue, Neon Pink","HSPA, LTE Cat4 150/50 Mbps - cellular model only",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, hotspot",,TAB 2 A8-50LC,,2 MP,Discontinued,,"8.0 inches, 195.8 cm2(~74.6% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA / LTE,,,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a8.jpg,"Li-Ion 4290 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by) - cellular model only",,,Accelerometer,"Yes, with stereo speakers",,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"800 x 1280 pixels, 16:10 ratio (~184 ppi density)",FM radio,Mediatek MT8735 (28 nm) - 4G modelMediatek MT8161 (28 nm) - Wi-Fi model,,,,,,360 g (12.70 oz),Yes,,,microSDHC (dedicated slot),No,Yes,Lenovo Tab 2 A8-50,,"8GB 1GB RAM, 16GB 1GB RAM",About 120 EUR,"2015, March. Released 2015, June",,IPS LCD,LTE,,Lenovo
,GPS,,,,HSDPA 900 / 2100,Android 4.4 (KitKat),Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,,,,"13 MP, f/2.0, AF",142 x 71.8 x 8.9 mm (5.59 x 2.83 x 0.35 in),,Up to 816 h (2G) / Up to 696 h (3G),Midnight Blue,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,P70-A,,5 MP,Discontinued,,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p70.jpg,"Li-Po 4000 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 46 h (2G) / Up to 18 h (3G),"4.0, A2DP",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Mediatek MT6752 (28 nm),,,,,,149 g (5.26 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo P70,,16GB 2GB RAM,About 240 EUR,"2015, January. Released 2015, February",,IPS LCD,"1, 3, 7, 20 - Data only, no voice",,Lenovo
,GPS - cellular model only,,,,HSDPA 850 / 1900 / 2100,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,,2 MP,191 x 105 x 8.9 mm (7.52 x 4.13 x 0.35 in),,Up to 432 h (3G),"Pearl White, Ebony Black, Aqua Blue, Cotton Candy",HSPA 21.1/5.76 Mbps - cellular model only,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,"TAB 2 A7-30HC, 2 A7-30HC, TAB 2 A7-30GC",,VGA,Discontinued,,"7.0 inches, 137.9 cm2(~68.8% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a7-30.jpg,"Li-Ion 3450 mAh, non-removable",Mini-SIM - cellular model only,,,Accelerometer,Yes,,Up to 8 h (3G),"4.0, A2DP",,1080p@30fps,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",FM radio,Mediatek MT8382M (28 nm),,,,,,269 g (9.49 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo Tab 2 A7-30,,16GB 1GB RAM,About 110 EUR,"2015, January. Released 2015, April",,IPS LCD,,,Lenovo
